,Value
Dataset,CUB
Model,HD-CapsNet
Accuracy L_0,0.40421125302036587
Accuracy L_1,0.21608560579910252
Accuracy L_2,0.13393165343458752
HarmonicM_Accuracy_k1,0.2059273545152857
HarmonicM_Accuracy_k2,0.2857574375326257
HarmonicM_Accuracy_k5,0.401825323712955
ArithmeticM_Accuracy_k1,0.2514095040846853
ArithmeticM_Accuracy_k2,0.33736048786100564
ArithmeticM_Accuracy_k5,0.4513864917730986
Harmonic_mAP_Score,0.13336140966468174
Arithmetic_mAP_Score,0.15688471082673197
hP,0.23469105971694856
hR,0.3033022667126913
hF1,0.26010076105001895
consistency,0.27338626164998275
exact_match,0.08629616845012081
