,Value
Dataset,CUB
Model,HD-CapsNet
Accuracy L_0,0.3658957542285122
Accuracy L_1,0.17777010700724888
Accuracy L_2,0.10873317224715223
HarmonicM_Accuracy_k1,0.1708906371624109
HarmonicM_Accuracy_k2,0.24743361048363718
HarmonicM_Accuracy_k5,0.3571873905904221
ArithmeticM_Accuracy_k1,0.21746634449430444
ArithmeticM_Accuracy_k2,0.2991600506270855
ArithmeticM_Accuracy_k5,0.41468185479231384
Harmonic_mAP_Score,0.1067671333904044
Arithmetic_mAP_Score,0.12963959995698812
hP,0.20288229202623403
hR,0.2655620757105051
hF1,0.22620691355589526
consistency,0.24093890231273732
exact_match,0.06282361063168795
