,Value
Dataset,CUB
Model,HD-CapsNet
Accuracy L_0,0.3565757680358992
Accuracy L_1,0.16983085950983776
Accuracy L_2,0.02036589575422851
HarmonicM_Accuracy_k1,0.05190817986235332
HarmonicM_Accuracy_k2,0.08180334572689191
HarmonicM_Accuracy_k5,0.13069876128153632
ArithmeticM_Accuracy_k1,0.18225750776665517
ArithmeticM_Accuracy_k2,0.24761247267288
ArithmeticM_Accuracy_k5,0.34932688988608906
Harmonic_mAP_Score,0.02964127569638826
Arithmetic_mAP_Score,0.10319773663768726
hP,0.14970083994937292
hR,0.20860660453342536
hF1,0.17132528998252158
consistency,0.2143596824301001
exact_match,0.015533310321021747
