,Value
Dataset,S-Cars
Model,HD-CapsNet
Accuracy L_0,0.5334493906988311
Accuracy L_1,0.19522506839094753
Accuracy L_2,0.1405123103705546
HarmonicM_Accuracy_k1,0.21255943970745064
HarmonicM_Accuracy_k2,0.30342303379648605
HarmonicM_Accuracy_k5,0.4185997072446231
ArithmeticM_Accuracy_k1,0.2897289231534444
ArithmeticM_Accuracy_k2,0.39268838597363837
ArithmeticM_Accuracy_k5,0.5123932686728011
Harmonic_mAP_Score,0.16213087849109237
Arithmetic_mAP_Score,0.21633922695060517
hP,0.26725524330597694
hR,0.34692862472021885
hF1,0.297280546969679
consistency,0.2914697836359115
exact_match,0.08132305396667495
