,Value
Dataset,S-Cars
Model,HD-CapsNet
Accuracy L_0,0.47500621735886595
Accuracy L_1,0.16388957970654067
Accuracy L_2,0.11738373538920667
HarmonicM_Accuracy_k1,0.17936176703975126
HarmonicM_Accuracy_k2,0.2651684184410132
HarmonicM_Accuracy_k5,0.3816552670681891
ArithmeticM_Accuracy_k1,0.2520931774848711
ArithmeticM_Accuracy_k2,0.3553842327779159
ArithmeticM_Accuracy_k5,0.4782392439691619
Harmonic_mAP_Score,0.12648817469163837
Arithmetic_mAP_Score,0.17370977853533123
hP,0.23561303158418304
hR,0.3140180717897703
hF1,0.26498087421986954
consistency,0.2576473514051231
exact_match,0.06192489430489928
