,Value
Dataset,S-Cars
Model,HD-CapsNet
Accuracy L_0,0.46008455608057697
Accuracy L_1,0.12285501119124596
Accuracy L_2,0.015667744342203433
HarmonicM_Accuracy_k1,0.040464758549603
HarmonicM_Accuracy_k2,0.06669843781635143
HarmonicM_Accuracy_k5,0.1261050843762745
ArithmeticM_Accuracy_k1,0.19953577053800878
ArithmeticM_Accuracy_k2,0.27969825084970573
ArithmeticM_Accuracy_k5,0.385807842161983
Harmonic_mAP_Score,0.022311002353840557
Arithmetic_mAP_Score,0.1267460198474661
hP,0.17104783221420872
hR,0.24040454281687804
hF1,0.197863991820719
consistency,0.1360358119870679
exact_match,0.00870430241233524
