,Value
Dataset,Marine_Dataset
Model,HD-CapsNet
Accuracy L_0,0.8987611015747444
Accuracy L_1,0.7859914919023808
Accuracy L_2,0.5715351891932233
HarmonicM_Accuracy_k1,0.7255850304618406
HarmonicM_Accuracy_k2,0.8391601887692848
HarmonicM_Accuracy_k5,0.921538661586962
ArithmeticM_Accuracy_k1,0.7520959275567828
ArithmeticM_Accuracy_k2,0.860462223549021
ArithmeticM_Accuracy_k5,0.9290991865064558
Harmonic_mAP_Score,0.3271554151720588
Arithmetic_mAP_Score,0.43823156845316996
hP,0.7501946662686269
hR,0.760442321566286
hF1,0.7543682186659274
consistency,0.9447346816926636
exact_match,0.5559370102246436
