,Value
Dataset,Marine_Dataset
Model,HD-CapsNet
Accuracy L_0,0.8949548473766699
Accuracy L_1,0.7757295320546309
Accuracy L_2,0.5375401149339503
HarmonicM_Accuracy_k1,0.7031013498416679
HarmonicM_Accuracy_k2,0.8112474393497511
HarmonicM_Accuracy_k5,0.8922400525197663
ArithmeticM_Accuracy_k1,0.7360748314550837
ArithmeticM_Accuracy_k2,0.8423016643033062
ArithmeticM_Accuracy_k5,0.9068960370176878
Harmonic_mAP_Score,0.279755806602354
Arithmetic_mAP_Score,0.4121160201904985
hP,0.7328724780456253
hR,0.747617981441401
hF1,0.7388246813017318
consistency,0.9236883349503694
exact_match,0.5184715277259497
