,Value
Dataset,Marine_Dataset
Model,HD-CapsNet
Accuracy L_0,0.8697664004776476
Accuracy L_1,0.778192402418091
Accuracy L_2,0.5503768937980447
HarmonicM_Accuracy_k1,0.7056001146604823
HarmonicM_Accuracy_k2,0.8244433928447129
HarmonicM_Accuracy_k5,0.9134557072286473
ArithmeticM_Accuracy_k1,0.7327785655645944
ArithmeticM_Accuracy_k2,0.8505361096599248
ArithmeticM_Accuracy_k5,0.9227554295096648
Harmonic_mAP_Score,0.26238190080016416
Arithmetic_mAP_Score,0.3384807922623477
hP,0.7334794885190437
hR,0.7575814115481255
hF1,0.7436087092498019
consistency,0.8694678707366221
exact_match,0.4934323456974401
